CLASS	com/mojang/blaze3d/opengl/GlDevice$ShaderCompilationKey	net/minecraft/class_10865$class_10154
CLASS	com/mojang/blaze3d/opengl/GlFence	net/minecraft/class_11270
CLASS	com/mojang/blaze3d/opengl/GlProgram	net/minecraft/class_5944
CLASS	com/mojang/blaze3d/opengl/GlProgram$1	net/minecraft/class_5944$1
CLASS	com/mojang/blaze3d/opengl/GlRenderPass	net/minecraft/class_10866
CLASS	com/mojang/blaze3d/opengl/GlRenderPass$TextureViewAndSampler	net/minecraft/class_10866$class_12133
CLASS	com/mojang/blaze3d/opengl/GlRenderPipeline	net/minecraft/class_10867
CLASS	com/mojang/blaze3d/opengl/GlSampler	net/minecraft/class_12134
CLASS	com/mojang/blaze3d/opengl/GlSampler$1	net/minecraft/class_12134$1
CLASS	com/mojang/blaze3d/opengl/GlShaderModule	net/minecraft/class_10141
CLASS	com/mojang/blaze3d/opengl/GlTexture	net/minecraft/class_10868
CLASS	com/mojang/blaze3d/opengl/GlTextureView	net/minecraft/class_11391
CLASS	com/mojang/blaze3d/opengl/GlTimerQuery	net/minecraft/class_12224
CLASS	com/mojang/blaze3d/opengl/Uniform	net/minecraft/class_284
CLASS	com/mojang/blaze3d/opengl/Uniform$Sampler	net/minecraft/class_284$class_11271
CLASS	com/mojang/blaze3d/opengl/Uniform$Ubo	net/minecraft/class_284$class_11272
CLASS	com/mojang/blaze3d/opengl/Uniform$Utb	net/minecraft/class_284$class_11273
CLASS	com/mojang/blaze3d/opengl/VertexArrayCache	net/minecraft/class_10869
CLASS	com/mojang/blaze3d/opengl/VertexArrayCache$1	net/minecraft/class_10869$1
CLASS	com/mojang/blaze3d/opengl/VertexArrayCache$Emulated	net/minecraft/class_10869$class_10870
CLASS	com/mojang/blaze3d/opengl/VertexArrayCache$Separate	net/minecraft/class_10869$class_10871
CLASS	com/mojang/blaze3d/opengl/VertexArrayCache$VertexArray	net/minecraft/class_10869$class_10872
CLASS	com/mojang/blaze3d/opengl/package-info	net/minecraft/class_10877
CLASS	com/mojang/blaze3d/package-info	net/minecraft/class_6182
CLASS	com/mojang/blaze3d/pipeline/MainTarget	net/minecraft/class_6364
CLASS	com/mojang/blaze3d/pipeline/MainTarget$Dimension	net/minecraft/class_6364$class_6366
CLASS	com/mojang/blaze3d/pipeline/RenderTarget	net/minecraft/class_276
CLASS	com/mojang/blaze3d/pipeline/TextureTarget	net/minecraft/class_6367
CLASS	com/mojang/blaze3d/pipeline/package-info	net/minecraft/class_6183
CLASS	com/mojang/blaze3d/platform/ClientShutdownWatchdog	net/minecraft/class_9918
CLASS	com/mojang/blaze3d/platform/ClipboardManager	net/minecraft/class_3674
CLASS	com/mojang/blaze3d/platform/DebugMemoryUntracker	net/minecraft/class_301
CLASS	com/mojang/blaze3d/platform/DisplayData	net/minecraft/class_543
CLASS	com/mojang/blaze3d/platform/FramerateLimitTracker	net/minecraft/class_9919
CLASS	com/mojang/blaze3d/platform/FramerateLimitTracker$FramerateThrottleReason	net/minecraft/class_9919$class_10601
CLASS	com/mojang/blaze3d/platform/IconSet	net/minecraft/class_8518
CLASS	com/mojang/blaze3d/platform/InputConstants	net/minecraft/class_3675
CLASS	com/mojang/blaze3d/platform/InputConstants$Key	net/minecraft/class_3675$class_306
CLASS	com/mojang/blaze3d/platform/InputConstants$Type	net/minecraft/class_3675$class_307
CLASS	com/mojang/blaze3d/platform/InputConstants$Value	net/minecraft/class_3675$class_12135
CLASS	com/mojang/blaze3d/platform/Lighting	net/minecraft/class_308
CLASS	com/mojang/blaze3d/platform/Lighting$1	net/minecraft/class_308$1
CLASS	com/mojang/blaze3d/platform/Lighting$Entry	net/minecraft/class_308$class_11274
CLASS	com/mojang/blaze3d/platform/MacosUtil	net/minecraft/class_6417
CLASS	com/mojang/blaze3d/platform/Monitor	net/minecraft/class_313
CLASS	com/mojang/blaze3d/platform/MonitorCreator	net/minecraft/class_3676
CLASS	com/mojang/blaze3d/platform/NativeImage	net/minecraft/class_1011
CLASS	com/mojang/blaze3d/platform/NativeImage$Format	net/minecraft/class_1011$class_1012
CLASS	com/mojang/blaze3d/platform/NativeImage$WriteCallback	net/minecraft/class_1011$class_1014
CLASS	com/mojang/blaze3d/platform/ScreenManager	net/minecraft/class_323
